ZCTA,Total,Total Male%,Total Female%,Male: Under 5%,Male: 5 to 17%,Male: 18 to 39%,Male: 40 to 59%,Male: 60 and Over%,Female: Under 5%,Female: 5 to 17%,Female: 18 to 39%,Female: 40 to 59%,Female: 60 and Over%
92651,35278,0.50365667,0.49634333,0.030415556,0.062078349,0.137762912,0.138244798,0.135155054,0.024264414,0.059952378,0.132320426,0.143318782,0.136487329
92653,24800,0.496209677,0.503790323,0.018669355,0.065443548,0.081774194,0.14983871,0.180483871,0.015967742,0.06358871,0.089072581,0.1575,0.17766129
92655,30012,0.486838598,0.513161402,0.038917766,0.074370252,0.131414101,0.133613221,0.108523257,0.020191923,0.075303212,0.135012662,0.147041184,0.135612422
92656,8382,0.476735863,0.523264137,0.028632785,0.113099499,0.0985445,0.14889048,0.087568599,0.041875447,0.104509664,0.123120974,0.156645192,0.097112861
92657,52268,0.477156195,0.522843805,0.031415015,0.084793755,0.143242519,0.157687304,0.060017602,0.038302594,0.087204408,0.146724573,0.166775082,0.083837147
92660,9802,0.468271781,0.531728219,0.041522138,0.056723118,0.086819017,0.146602734,0.136604775,0.014180779,0.092838196,0.096306876,0.177514793,0.150887574
92661,35446,0.461236811,0.538763189,0.017914574,0.077469954,0.106556452,0.130141624,0.129154206,0.02970716,0.084240817,0.11998533,0.145686396,0.159143486
92662,3445,0.554426705,0.445573295,0.003483309,0.042670537,0.224963716,0.115820029,0.167489115,0.004644412,0.036574746,0.12946299,0.107982583,0.166908563
92663,2519,0.473203652,0.526796348,0.044462088,0.035728464,0.084160381,0.082175466,0.226677253,0.003969829,0.027788805,0.086145296,0.116712981,0.292179436
92672,21951,0.538107603,0.461892397,0.015807936,0.059906155,0.189968566,0.152931529,0.119493417,0.011024555,0.040863742,0.158808255,0.133251333,0.117944513
92673,34218,0.488222573,0.511777427,0.024548483,0.058828687,0.144397685,0.130603776,0.129843942,0.022415103,0.05865334,0.137208487,0.15009644,0.143404056
92675,30768,0.507182787,0.492817213,0.026813573,0.109594384,0.10975689,0.140373115,0.120644826,0.027983619,0.104719189,0.082390796,0.15899636,0.118727249
92676,38803,0.478648558,0.521351442,0.035151921,0.083292529,0.121588537,0.126742778,0.111872793,0.032420174,0.091539314,0.127412829,0.133546375,0.13643275
92677,2068,0.488394584,0.511605416,0.008220503,0.059961315,0.095261122,0.138781431,0.186170213,0.032882012,0.073017408,0.079787234,0.166344294,0.159574468
92678,66314,0.480124861,0.519875139,0.02712851,0.073076575,0.123427934,0.134345689,0.122146153,0.022785535,0.071643997,0.123623971,0.156377236,0.145444401
92679,584,0.481164384,0.518835616,0.037671233,0.015410959,0.150684932,0.154109589,0.123287671,0.044520548,0.113013699,0.113013699,0.145547945,0.102739726
92683,32657,0.49765747,0.50234253,0.024986986,0.089414214,0.109777383,0.173377836,0.10010105,0.02461953,0.101325903,0.096181523,0.190188933,0.090026641
92688,91105,0.48774491,0.51225509,0.025344383,0.073497613,0.137983645,0.144756051,0.106163218,0.023313759,0.079007738,0.13769826,0.14238516,0.129850173
92691,44832,0.483650071,0.516349929,0.031138473,0.094976802,0.140613847,0.158569772,0.058351178,0.036581014,0.094374554,0.144874197,0.158324411,0.082195753
92692,50839,0.495623439,0.504376561,0.022679439,0.079269852,0.138082968,0.14386593,0.11172525,0.021892641,0.075571903,0.115344519,0.147799917,0.14376758
92694,46800,0.495576923,0.504423077,0.030299145,0.071324786,0.120833333,0.141666667,0.131452991,0.024337607,0.065833333,0.100192308,0.158141026,0.155918803
92701,29570,0.486608049,0.513391951,0.051437268,0.133919513,0.112749408,0.143997295,0.044504565,0.052654718,0.132296246,0.123977004,0.149408184,0.0550558
92703,55058,0.515801518,0.484198482,0.039376657,0.126085219,0.194703767,0.112408733,0.043227142,0.039957863,0.109157616,0.161774856,0.115841476,0.057466672
92704,69112,0.522166917,0.477833083,0.034885403,0.104612802,0.188693715,0.130483852,0.063491145,0.033481884,0.091575993,0.160522051,0.1188795,0.073373654
92705,88321,0.501137895,0.498862105,0.034940728,0.093714972,0.175235788,0.134158354,0.063088054,0.035189819,0.093397946,0.172099501,0.121907587,0.076267252
92706,47298,0.513404372,0.486595628,0.036809167,0.083830183,0.150048628,0.139456214,0.10326018,0.028373293,0.091420356,0.119835934,0.131400905,0.11556514
92707,35748,0.498489426,0.501510574,0.043191227,0.091865279,0.164372832,0.129741524,0.069318563,0.037428667,0.090242811,0.160512476,0.124706277,0.088620342
92708,60831,0.510512732,0.489487268,0.036395917,0.093751541,0.190922392,0.127550098,0.061892785,0.033551972,0.084890927,0.183409775,0.121007381,0.066627213
92780,56953,0.483767317,0.516232683,0.023528172,0.074219093,0.124365705,0.141660668,0.119993679,0.024915281,0.075149685,0.126367356,0.146348744,0.143451618
92782,59499,0.496798266,0.503201734,0.044790669,0.088371233,0.174960924,0.120220508,0.068454932,0.035227483,0.079597976,0.168994437,0.124439066,0.094942772
92801,23084,0.495667995,0.504332005,0.023132906,0.120126495,0.130306706,0.150667129,0.07143476,0.021746664,0.092141743,0.141786519,0.160197539,0.088459539
92802,66594,0.486845662,0.513154338,0.039162687,0.093401808,0.174460162,0.120326156,0.059494849,0.03452263,0.09281617,0.177253206,0.12361474,0.084947593
92804,42016,0.505331302,0.494668698,0.03439166,0.103436786,0.17081588,0.127403846,0.06928313,0.028036938,0.083182597,0.16874524,0.121667936,0.093035986
92805,89915,0.492120336,0.507879664,0.034354668,0.087082244,0.165589724,0.123561141,0.081532559,0.029205361,0.083167436,0.167313574,0.124284046,0.103909248
