,ZCTA,All_death,Heart_death
246,91601,148.0,44.0
247,91602,94.0,22.0
248,91604,176.0,50.0
249,91605,323.0,68.0
250,91606,267.0,77.0
251,91607,201.0,49.0
252,91608,0.0,0.0
253,91701,282.0,73.0
254,91702,359.0,84.0
255,91706,401.0,98.0
256,91708,27.0,
257,91709,320.0,77.0
258,91710,458.0,109.0
259,91711,367.0,100.0
260,91722,252.0,53.0
261,91723,144.0,37.0
262,91724,225.0,54.0
263,91730,370.0,98.0
264,91731,173.0,34.0
265,91732,343.0,76.0
266,91733,265.0,58.0
267,91737,134.0,34.0
268,91739,158.0,30.0
269,91740,243.0,59.0
270,91741,235.0,75.0
271,91744,480.0,103.0
272,91745,407.0,104.0
273,91746,189.0,53.0
274,91748,283.0,58.0
275,91750,321.0,79.0
276,91752,214.0,51.0
277,91754,303.0,67.0
278,91755,233.0,48.0
279,91761,303.0,65.0
280,91762,382.0,86.0
281,91763,235.0,67.0
282,91764,276.0,57.0
283,91765,257.0,57.0
284,91766,315.0,82.0
285,91767,359.0,87.0
286,91768,217.0,52.0
287,91770,469.0,116.0
288,91773,316.0,98.0
289,91775,173.0,32.0
290,91776,233.0,60.0
291,91780,250.0,55.0
292,91784,224.0,51.0
293,91786,398.0,107.0
294,91789,248.0,60.0
295,91790,289.0,83.0
296,91791,256.0,56.0
297,91792,174.0,30.0
298,91801,370.0,106.0
299,91803,213.0,41.0
300,91901,154.0,34.0
301,91902,161.0,28.0
302,91905,20.0,
303,91906,24.0,
304,91910,630.0,132.0
305,91911,595.0,141.0
306,91913,195.0,30.0
307,91914,76.0,0.0
308,91915,90.0,17.0
309,91916,12.0,
310,91917,0.0,0.0
311,91932,175.0,33.0
312,91934,15.0,
313,91935,76.0,19.0
314,91941,277.0,57.0
315,91942,390.0,92.0
316,91945,254.0,47.0
317,91950,477.0,103.0
318,91962,11.0,
319,91963,12.0,
320,91977,447.0,101.0
321,91978,64.0,11.0
322,92003,31.0,
323,92004,47.0,12.0
324,92007,72.0,12.0
325,92008,260.0,60.0
326,92009,268.0,67.0
327,92010,91.0,
328,92011,140.0,23.0
329,92014,84.0,17.0
330,92019,363.0,78.0
331,92020,547.0,116.0
332,92021,563.0,124.0
333,92024,400.0,84.0
334,92025,348.0,63.0
335,92026,446.0,83.0
336,92027,413.0,82.0
337,92028,424.0,98.0
338,92029,200.0,40.0
339,92036,39.0,
340,92037,350.0,70.0
341,92040,417.0,96.0
342,92054,270.0,64.0
343,92055,14.0,0.0
344,92056,483.0,108.0
345,92057,364.0,88.0
346,92058,157.0,42.0
347,92059,15.0,
348,92061,18.0,
349,92064,363.0,69.0
350,92065,258.0,45.0
351,92067,51.0,
352,92069,274.0,52.0
353,92070,12.0,
354,92071,459.0,97.0
355,92075,99.0,21.0
356,92078,386.0,98.0
357,92081,200.0,42.0
358,92082,155.0,30.0
359,92083,219.0,40.0
360,92084,391.0,95.0
361,92086,23.0,
362,92091,22.0,
363,92101,317.0,78.0
364,92102,201.0,32.0
365,92103,293.0,66.0
366,92104,210.0,53.0
367,92105,389.0,76.0
368,92106,155.0,35.0
369,92107,177.0,44.0
370,92108,108.0,24.0
371,92109,287.0,74.0
372,92110,215.0,51.0
373,92111,322.0,79.0
374,92113,279.0,64.0
375,92114,532.0,147.0
376,92115,327.0,69.0
377,92116,143.0,19.0
378,92117,445.0,103.0
379,92118,130.0,29.0
380,92119,211.0,43.0
381,92120,265.0,64.0
382,92121,18.0,0.0
383,92122,289.0,66.0
384,92123,226.0,50.0
385,92124,114.0,22.0
386,92126,383.0,80.0
387,92127,224.0,30.0
388,92128,440.0,88.0
389,92129,230.0,36.0
390,92130,176.0,35.0
391,92131,133.0,26.0
392,92139,230.0,57.0
393,92147,0.0,0.0
394,92154,478.0,94.0
395,92173,186.0,35.0
396,92201,424.0,128.0
397,92203,223.0,56.0
398,92210,75.0,26.0
399,92211,387.0,127.0
400,92220,526.0,146.0
401,92223,438.0,118.0
402,92225,164.0,45.0
403,92227,168.0,28.0
404,92230,37.0,
405,92231,218.0,35.0
406,92233,20.0,
407,92234,453.0,150.0
408,92236,162.0,46.0
409,92240,308.0,78.0
410,92241,106.0,36.0
411,92242,42.0,12.0
412,92243,346.0,76.0
413,92249,41.0,
414,92250,54.0,
415,92251,83.0,17.0
416,92252,113.0,38.0
417,92253,347.0,99.0
418,92254,35.0,11.0
419,92256,43.0,
420,92257,25.0,12.0
421,92260,452.0,154.0
422,92262,351.0,100.0
423,92264,309.0,90.0
424,92270,332.0,97.0
425,92273,15.0,
426,92274,79.0,20.0
427,92275,21.0,
428,92276,85.0,26.0
429,92277,167.0,46.0
430,92281,15.0,
431,92282,14.0,
432,92283,35.0,
433,92284,345.0,97.0
434,92285,51.0,15.0
435,92301,220.0,53.0
436,92307,421.0,111.0
437,92308,493.0,147.0
438,92311,360.0,85.0
439,92313,107.0,35.0
440,92314,98.0,22.0
441,92315,54.0,11.0
442,92316,165.0,41.0
443,92320,124.0,33.0
444,92324,331.0,88.0
445,92325,84.0,21.0
446,92335,472.0,90.0
447,92336,396.0,84.0
448,92337,134.0,18.0
449,92338,0.0,0.0
450,92342,84.0,21.0
451,92344,104.0,26.0
452,92345,712.0,178.0
453,92346,400.0,100.0
454,92347,11.0,
455,92352,65.0,15.0
456,92354,216.0,64.0
457,92356,99.0,25.0
458,92358,11.0,
459,92359,64.0,15.0
460,92363,76.0,11.0
461,92364,0.0,0.0
462,92365,32.0,
463,92368,12.0,
464,92371,171.0,39.0
465,92372,50.0,15.0
466,92373,364.0,98.0
467,92374,303.0,67.0
468,92376,470.0,124.0
469,92377,133.0,25.0
470,92382,43.0,
471,92384,0.0,0.0
472,92386,34.0,
473,92389,0.0,0.0
474,92391,16.0,
475,92392,409.0,87.0
476,92394,209.0,45.0
477,92395,485.0,124.0
478,92397,35.0,
479,92398,20.0,
480,92399,541.0,141.0
481,92401,17.0,0.0
482,92404,546.0,135.0
483,92405,196.0,51.0
484,92407,393.0,70.0
485,92408,97.0,22.0
486,92410,317.0,59.0
487,92411,193.0,39.0
488,92501,155.0,40.0
489,92503,572.0,143.0
490,92504,508.0,130.0
491,92505,320.0,75.0
492,92506,368.0,107.0
493,92507,303.0,87.0
