,ZCTA5,insurance_access,ARTHRITIS_CrudePrev,DRINKING,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,HIGHCHOL_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev
12881,48427,13.2,35.6,17.1,38.4,9.2,10.9,9.0,10.9,38.5,21.2,13.0,39.2,4.4
12882,39323,19.2,29.9,15.0,39.7,7.1,9.8,7.3,8.7,36.9,21.3,12.1,37.4,3.9
12883,39086,26.8,32.3,10.0,54.6,6.0,12.6,9.2,10.8,34.5,25.6,21.6,50.9,7.1
12884,45054,9.0,28.0,19.3,29.4,7.1,9.5,5.6,7.4,31.8,19.4,9.5,34.1,2.7
12885,45231,12.1,29.4,18.0,37.3,7.3,10.8,7.1,9.0,29.9,21.8,13.3,36.1,4.3
12886,32628,29.0,26.6,19.3,38.0,6.1,10.0,7.7,12.0,33.6,29.9,13.4,38.7,4.6
12887,34117,25.3,20.5,20.6,25.4,5.7,8.1,4.9,6.9,29.8,19.0,9.5,26.3,2.7
12888,43541,14.7,31.1,16.1,37.6,8.2,10.0,7.9,9.9,33.6,21.7,14.5,42.4,4.0
12889,30401,27.1,29.6,14.6,41.8,6.9,10.6,8.1,10.4,35.7,24.7,15.2,39.2,4.9
12890,31017,23.5,31.8,14.7,42.6,7.9,10.2,8.8,10.8,37.6,24.1,15.2,36.5,4.9
12891,34986,20.0,30.3,13.3,40.5,10.3,8.1,9.3,10.2,37.9,15.4,13.7,28.7,4.8
12892,55356,7.3,20.3,22.1,26.5,7.3,8.0,5.0,4.2,30.9,11.5,7.4,24.6,2.6
12893,44638,12.6,29.4,17.7,33.8,7.1,10.4,7.0,9.9,31.6,24.9,11.2,36.3,3.5
12894,31554,31.3,25.2,17.9,37.8,5.3,10.0,7.0,9.8,32.8,29.7,12.9,38.6,4.0
12895,30707,20.6,28.9,16.6,35.8,7.3,9.4,7.1,9.2,34.1,23.0,11.6,32.6,3.7
12896,43611,14.2,32.0,17.4,35.9,7.7,11.4,8.2,11.4,32.6,27.3,13.6,37.7,4.3
12897,48633,14.4,48.7,11.4,51.9,11.5,12.3,15.3,19.4,47.8,27.4,21.6,46.5,7.5
12898,37705,16.8,32.2,13.0,40.5,8.1,9.8,7.7,10.4,38.6,23.3,12.6,35.2,3.9
12899,53946,13.1,33.2,19.4,36.7,9.1,9.8,8.3,8.4,36.5,19.3,11.2,35.8,4.2
12900,34609,19.9,28.2,17.4,36.8,9.0,8.5,8.1,9.9,35.1,19.2,13.2,31.7,4.2
12901,43734,12.2,32.4,15.7,38.1,8.4,10.2,8.0,10.7,34.6,25.2,12.0,39.0,4.0
12902,38560,19.7,32.3,13.4,38.9,7.3,10.5,7.7,11.5,35.8,26.5,13.2,38.1,4.0
12903,35216,13.5,24.1,17.3,30.3,6.6,8.5,4.7,5.2,28.7,13.1,8.4,27.8,2.6
12904,50238,9.7,30.8,18.9,36.6,8.6,8.5,7.8,7.7,36.0,19.5,12.0,36.4,3.9
12905,43756,13.1,35.3,15.1,41.0,8.9,11.0,9.9,12.9,35.1,26.1,14.6,40.3,5.0
12906,42445,10.7,35.9,13.8,44.6,8.4,10.2,8.9,11.6,39.2,24.3,13.9,38.3,4.4
12907,43030,10.7,29.0,18.6,33.9,8.1,9.8,7.2,8.7,32.3,20.4,11.2,33.1,3.5
12908,49836,11.2,39.7,15.4,42.5,10.3,10.8,10.2,12.1,41.8,21.3,14.9,39.2,4.9
12909,32707,20.0,23.3,19.1,29.6,6.7,8.6,5.8,7.6,30.8,16.3,10.2,28.6,3.2
12910,47948,15.4,30.4,15.1,39.2,8.3,10.6,8.9,11.6,36.9,25.1,13.7,39.1,4.5
12911,54512,8.0,35.6,18.3,39.4,10.9,8.7,8.3,6.7,40.6,13.1,11.0,34.4,4.0
12912,56118,12.3,26.6,19.5,34.4,7.8,9.7,7.6,8.1,33.1,22.6,11.5,34.6,3.9
12913,44607,14.4,29.1,17.5,32.4,7.0,11.3,6.9,10.5,29.8,26.9,11.2,38.1,3.6
12914,47586,12.2,29.4,15.5,36.6,8.4,9.8,7.6,9.4,34.9,21.7,12.0,35.6,3.9
12915,33880,27.9,26.1,16.7,35.4,6.9,9.8,7.3,10.3,34.4,21.8,12.7,36.7,4.1
12916,53024,7.7,25.1,24.4,28.5,7.7,8.9,4.9,4.6,34.2,13.1,7.3,32.4,2.5
12917,33460,36.7,21.3,18.5,32.3,5.5,9.5,6.9,9.4,29.2,23.3,12.8,31.6,4.1
12918,41828,13.3,41.6,12.7,46.8,7.6,11.6,10.4,15.8,40.9,33.0,16.3,39.5,5.3
12919,39462,21.8,31.1,13.1,44.6,6.8,10.9,7.9,10.0,37.6,24.3,15.1,42.5,4.8
12920,42441,9.6,31.9,14.7,39.3,7.4,9.5,7.1,9.0,37.2,23.4,11.2,34.0,3.4
12921,45336,10.4,24.5,20.7,28.7,6.8,9.3,5.6,7.1,28.0,19.9,8.8,32.0,2.7
12922,50228,9.2,24.2,21.6,30.9,7.3,8.3,5.7,5.9,32.3,17.5,9.2,32.9,3.0
12923,56221,9.7,28.2,19.3,36.0,10.1,8.5,7.9,6.6,34.8,15.8,10.7,36.1,3.9
12924,54832,9.0,34.3,18.8,39.1,9.8,9.2,8.0,7.5,37.8,16.6,11.3,38.8,4.0
12925,51235,10.1,24.3,23.0,29.6,7.0,8.4,5.8,6.0,28.4,18.2,8.7,35.7,2.9
12926,40071,8.9,31.7,16.1,36.9,7.0,9.7,6.3,8.5,34.9,23.2,10.6,36.4,3.1
12927,38701,24.8,31.7,11.7,48.7,6.4,12.1,8.3,10.2,37.2,24.5,18.3,46.9,6.2
12928,33066,18.6,34.3,13.0,40.4,12.8,7.4,10.4,10.2,39.3,12.2,13.6,25.1,5.5
12929,44138,8.0,27.8,18.9,29.5,8.2,9.8,6.1,7.1,32.1,17.4,8.8,31.0,3.1
12930,55084,10.1,24.5,24.5,30.7,7.5,9.1,6.0,5.9,30.6,19.7,9.3,34.4,3.1
12931,33178,28.0,13.1,20.4,21.7,4.0,6.9,3.2,3.4,24.9,10.5,9.2,26.7,1.9
12932,43701,13.3,32.6,15.1,39.1,8.0,10.8,8.4,11.4,34.5,26.3,13.0,40.3,4.4
12933,54970,14.5,27.2,23.6,34.4,7.1,9.4,6.6,6.8,33.6,21.7,9.9,39.1,3.5
12934,55409,11.1,16.1,23.7,23.1,5.4,8.5,4.0,3.5,24.3,12.5,6.7,25.5,2.4
12935,50468,9.1,27.9,20.2,33.7,8.1,8.4,6.8,6.6,33.8,18.1,10.4,36.5,3.4
12936,36435,19.8,38.1,10.3,54.4,6.8,11.7,9.1,10.3,37.5,23.6,22.0,46.2,7.0
12937,40121,11.3,12.2,22.3,19.3,2.0,9.4,1.6,3.3,17.3,20.8,3.6,31.8,1.0
12938,45853,9.5,27.4,19.1,33.9,8.9,9.2,7.0,8.1,30.8,17.6,10.3,35.0,3.5
12939,45614,12.9,33.7,16.2,37.1,8.2,11.0,8.3,11.2,33.3,25.2,13.2,41.3,4.3
12940,39465,16.4,26.9,16.3,36.8,6.8,9.7,6.0,7.3,36.6,18.6,10.3,39.3,3.3
12941,50861,8.9,28.8,19.6,36.6,9.0,7.9,7.5,6.8,36.2,17.0,11.1,33.6,3.6
12942,31606,21.5,28.0,17.5,35.5,7.1,10.0,7.0,8.8,35.4,20.6,12.2,33.8,3.8
12943,48335,8.5,24.5,18.3,28.7,6.9,9.3,4.6,4.8,31.6,11.1,8.1,28.0,2.5
12944,49088,10.7,31.1,19.9,34.2,7.7,10.9,6.6,8.5,37.1,19.5,10.6,37.3,3.3
12945,52565,10.5,33.4,17.8,39.5,9.4,8.7,8.8,8.7,37.0,19.3,12.9,37.6,4.5
12946,53585,14.3,26.3,23.0,30.5,6.7,9.7,5.8,6.6,31.0,20.9,8.9,37.1,3.1
12947,33947,15.7,35.6,13.8,44.3,12.3,8.4,10.5,12.1,42.6,16.6,14.5,28.4,5.2
12948,45684,13.9,35.6,15.0,39.9,8.2,11.4,9.5,13.4,37.5,29.5,14.7,40.0,4.7
12949,45159,12.2,30.7,17.6,33.8,7.2,10.5,7.0,10.0,31.7,26.8,11.6,40.7,3.5
12950,50026,9.2,26.8,21.5,33.6,7.8,8.3,6.2,6.6,35.2,17.7,10.4,39.0,3.2
12951,51637,9.1,28.3,20.0,33.7,7.9,8.9,6.9,7.0,34.3,19.4,10.6,36.5,3.4
12952,47567,12.9,29.3,15.6,36.8,8.3,10.0,7.8,9.9,36.0,21.9,12.4,35.8,3.9
12953,30434,29.0,30.7,13.0,47.3,6.8,11.5,8.8,10.7,34.7,25.4,18.4,43.2,6.0
12954,36256,17.4,36.9,14.3,43.9,7.7,10.4,8.0,10.7,37.6,24.9,14.1,38.0,4.6
12955,36093,9.9,30.5,16.0,36.4,7.4,8.5,5.4,6.0,37.8,15.2,10.6,32.6,2.8
12956,30627,24.4,31.9,14.7,42.8,7.3,10.4,8.7,11.1,37.6,24.7,15.7,39.7,5.0
12957,48878,12.6,31.9,19.4,34.3,7.7,11.3,7.2,9.7,33.9,22.8,11.2,39.7,3.8
12958,43558,10.4,30.3,18.0,33.6,7.8,10.2,6.8,8.9,31.7,21.9,11.3,36.3,3.4
12959,35172,16.3,34.6,15.1,40.6,7.7,9.9,7.9,10.3,35.6,22.9,12.6,37.3,4.1
12960,42348,10.7,33.6,15.2,39.7,7.6,10.2,7.6,10.6,37.2,25.6,12.3,37.1,3.8
12961,47306,15.7,6.6,21.5,14.9,0.8,15.1,1.3,4.5,10.3,19.7,2.2,31.3,0.8
