,ZCTA5,insurance_access,ARTHRITIS_CrudePrev,DRINKING,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,HIGHCHOL_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev
0,8240,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
1,8904,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
2,8065,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
3,28443,12.4,28.6,16.8,33.1,8.1,8.8,6.3,6.8,36.7,16.0,10.0,31.1,3.2
4,3103,17.7,23.5,18.6,29.4,6.1,12.1,5.5,7.4,28.3,21.4,9.2,35.7,3.0
5,4042,13.4,26.9,20.5,29.7,7.3,11.3,5.4,7.5,29.8,18.4,8.2,32.7,2.8
6,7090,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
7,1109,17.6,24.5,16.7,33.9,5.1,13.3,6.2,7.2,26.1,21.9,13.1,35.2,4.3
8,18031,8.5,22.9,19.9,26.5,6.5,9.0,4.2,4.7,30.3,15.5,7.2,31.9,2.3
9,19345,7.7,21.5,17.4,21.6,8.0,11.3,4.4,4.6,23.5,7.4,5.4,19.6,2.6
10,24823,16.2,42.5,11.3,45.6,7.4,12.4,10.8,15.4,38.9,34.3,16.7,45.6,4.9
11,18932,7.7,28.8,18.6,32.3,8.2,9.6,5.8,6.4,34.2,16.7,9.4,32.4,3.0
12,8106,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
13,27019,16.4,31.4,15.3,35.5,8.0,9.7,7.7,9.7,37.3,22.5,12.1,35.6,3.9
14,12202,18.3,22.8,16.9,33.7,5.0,13.0,6.0,8.7,27.4,23.8,13.4,41.2,4.3
15,28339,19.5,31.3,13.5,39.2,7.8,10.1,8.0,9.6,34.2,22.2,13.9,38.1,4.7
16,18202,16.4,33.4,17.3,35.9,8.2,10.9,8.9,10.2,36.1,24.0,12.7,33.8,4.6
17,5091,6.7,31.4,14.9,32.1,9.6,9.4,6.8,6.7,34.0,11.9,8.9,26.4,3.4
18,8865,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
19,6390,7.9,26.7,18.0,31.9,8.8,9.2,6.2,7.5,34.3,15.3,9.3,26.3,3.2
20,18403,9.4,30.9,17.6,31.2,8.0,10.0,6.5,7.6,30.4,20.6,9.9,34.1,3.4
21,19007,13.6,27.5,17.7,33.9,6.8,10.8,6.3,7.5,31.7,22.5,11.2,36.5,3.6
22,4451,16.5,36.4,13.6,43.7,9.8,12.4,11.2,13.6,39.2,23.3,15.2,39.1,5.3
23,11777,7.2,22.8,18.9,27.6,8.1,8.5,5.0,5.4,31.0,11.5,7.7,23.4,2.5
24,24566,14.1,32.3,14.6,40.3,7.6,10.8,7.8,10.6,36.7,23.7,13.6,38.9,4.3
25,29626,18.7,33.7,16.0,42.0,7.8,10.3,8.2,10.0,37.9,22.8,14.2,39.5,4.5
26,11101,18.6,16.3,17.0,25.7,4.5,8.9,4.8,5.7,26.3,14.3,11.5,26.6,3.0
27,20658,10.9,29.3,14.8,39.9,7.5,9.9,6.0,7.4,35.7,19.0,13.2,44.1,3.7
28,14223,7.9,26.5,20.1,29.9,8.3,9.8,5.7,6.7,32.4,14.7,8.5,28.6,2.9
29,15062,11.2,35.8,16.7,38.5,9.0,10.6,8.3,9.2,36.1,21.5,12.5,38.4,4.6
30,6103,6.9,12.3,21.3,18.1,3.7,8.9,2.4,2.3,22.5,8.9,4.5,23.8,1.2
31,28455,23.2,32.1,13.9,39.1,7.6,10.6,9.0,11.7,37.7,25.8,14.4,37.2,4.8
32,5841,8.6,37.4,13.6,41.9,11.1,9.9,9.5,9.8,36.7,15.8,12.9,31.7,4.9
33,15078,11.6,34.9,17.3,37.5,8.6,10.9,7.8,9.6,34.6,22.2,11.3,37.1,4.1
34,10312,9.6,21.6,18.0,27.2,7.1,9.7,5.1,6.1,30.1,15.7,8.5,28.0,2.6
35,29229,14.1,19.7,20.2,28.9,4.7,9.4,3.5,4.0,26.5,15.2,8.4,32.3,2.4
36,3833,9.2,26.2,16.4,31.7,8.3,9.6,5.7,5.8,32.3,13.7,8.2,27.8,2.9
37,24818,13.2,41.3,12.1,44.0,7.8,11.5,10.0,13.0,38.7,29.1,15.3,43.1,4.4
38,29150,20.8,28.7,15.3,42.6,6.9,11.0,7.7,8.7,33.7,20.3,15.2,40.0,5.1
39,15783,11.2,26.7,20.1,29.8,6.4,10.1,5.8,7.3,30.1,23.8,8.7,32.3,3.0
40,25922,15.3,42.5,12.2,44.7,7.8,12.0,11.1,14.4,41.6,30.0,16.2,41.2,4.9
41,15625,8.7,29.5,21.4,30.0,7.4,9.8,5.6,6.6,32.4,19.3,8.4,34.2,3.0
42,14551,13.1,29.2,17.7,35.3,7.8,10.8,7.6,10.0,34.2,21.6,12.0,34.9,4.1
43,7086,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
44,18081,8.5,28.4,19.0,32.7,8.4,9.4,6.3,6.5,34.3,17.5,9.3,31.8,3.1
45,5158,9.4,29.2,19.8,28.9,7.9,10.6,6.1,7.4,29.1,17.8,8.2,23.3,3.4
46,6510,8.4,10.5,20.9,16.6,3.0,10.2,1.8,2.2,16.5,10.3,4.1,23.7,1.1
47,7934,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
48,23185,10.4,25.6,15.8,32.6,7.7,9.2,5.7,6.0,32.8,12.9,9.7,30.0,3.0
49,18254,10.9,34.8,16.2,36.8,9.2,10.4,7.8,9.3,36.2,21.0,11.5,35.0,4.1
50,29803,13.3,29.8,15.8,36.9,8.5,8.9,6.6,6.7,36.7,14.0,11.5,33.3,3.4
51,14527,11.3,29.0,17.5,35.0,8.7,10.2,7.5,9.3,35.0,18.8,11.0,29.1,3.8
52,5489,6.3,23.9,20.5,24.4,6.8,9.3,4.3,4.9,28.1,11.7,6.4,23.0,2.3
53,24927,12.8,42.3,11.8,45.5,8.8,11.2,10.7,12.8,39.7,25.3,15.8,40.7,4.8
54,17968,10.3,31.1,18.2,34.6,8.6,10.2,7.5,8.3,34.6,21.7,10.2,32.1,3.8
55,21661,11.4,37.3,12.4,45.4,10.2,9.7,10.2,11.5,41.0,19.3,15.5,36.8,5.3
56,3057,8.8,24.6,19.2,28.7,7.3,10.7,4.8,5.6,29.5,14.4,7.8,32.4,2.5
57,27514,13.2,15.4,18.4,21.2,4.5,9.3,3.4,3.9,22.1,12.1,5.8,24.9,1.8
58,14304,10.3,28.8,18.3,32.9,8.1,10.9,6.9,8.6,33.9,20.1,10.1,31.0,3.5
59,17238,11.5,31.1,17.9,34.3,7.9,10.5,7.2,8.8,33.9,23.8,10.7,36.5,3.7
60,21702,11.7,23.8,15.1,31.0,6.8,9.1,5.1,5.6,33.4,13.5,9.3,30.5,2.8
61,18504,13.0,31.6,16.8,32.7,7.7,10.8,7.3,9.2,31.4,24.2,11.2,36.1,3.9
62,23805,14.3,28.0,14.7,40.3,6.9,10.9,6.4,7.6,32.3,18.4,14.3,39.7,4.4
63,10993,19.5,23.8,14.6,31.3,6.8,10.2,6.5,7.5,32.5,15.5,12.5,31.1,3.6
64,14838,10.2,26.5,19.8,33.1,7.6,10.4,6.5,8.5,32.2,20.6,10.2,32.6,3.2
65,20837,7.3,21.1,15.2,26.2,6.7,8.7,4.1,4.7,33.8,10.4,7.3,24.6,2.3
66,4430,14.8,35.0,14.7,41.2,10.3,11.7,10.3,11.7,39.2,20.5,13.7,36.3,4.8
67,19716,10.2,3.7,30.3,7.1,0.7,11.0,0.5,1.7,8.1,8.5,0.9,17.8,0.4
68,5761,10.0,32.3,16.2,33.6,8.2,11.1,7.5,8.7,32.7,19.4,10.1,34.2,3.8
69,24502,12.4,22.6,17.9,29.7,6.0,10.4,5.1,6.5,26.6,16.3,8.5,29.6,2.9
70,27985,18.6,29.5,13.5,42.0,7.1,10.5,7.0,8.1,34.6,19.5,15.5,39.0,4.9
71,2150,23.5,18.8,20.6,24.1,4.8,10.8,5.3,5.7,25.6,17.2,9.8,27.2,2.9
72,17104,21.0,27.5,14.8,36.5,5.0,13.2,6.5,8.5,30.0,25.9,14.7,44.2,4.5
73,30002,19.4,22.5,17.5,33.2,6.3,9.1,5.1,6.1,30.5,16.0,10.6,31.5,3.2
74,11563,9.8,23.5,19.8,29.0,8.4,8.9,5.4,6.0,34.5,12.6,9.2,25.6,2.7
75,5401,9.9,17.5,22.1,19.9,4.2,11.1,3.9,5.1,20.5,14.3,5.4,22.7,2.2
76,16602,11.7,33.4,17.0,36.5,8.4,11.1,7.8,9.5,34.6,23.9,11.6,37.4,4.1
77,1431,6.9,24.3,21.6,27.4,7.4,9.9,5.3,5.7,30.5,15.4,7.4,25.1,2.6
78,22734,13.7,22.1,18.6,30.7,5.5,9.9,4.5,6.6,29.8,19.6,9.1,34.9,2.7
79,21622,10.0,34.0,14.1,41.9,9.8,9.7,8.1,9.0,38.1,17.5,14.3,33.9,4.3
80,12008,7.8,25.3,21.2,28.7,7.9,9.4,5.3,6.2,33.2,14.8,8.2,32.4,2.7
81,7018,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
82,4780,15.9,30.2,15.5,38.5,7.8,12.3,8.1,10.8,36.6,22.5,11.6,39.1,3.9
83,4745,16.2,32.6,14.5,41.4,8.6,12.0,9.1,11.8,38.0,23.0,12.7,39.7,4.3
84,8559,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
85,8628,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
86,26320,12.9,42.2,12.0,46.7,8.6,11.1,11.2,13.5,40.0,27.5,16.8,44.7,4.9
87,7650,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
88,15834,11.3,35.5,16.4,38.4,9.1,10.7,8.7,10.2,36.9,23.4,12.3,37.3,4.5
89,12418,11.0,31.6,17.1,36.2,8.7,10.9,8.6,10.7,37.2,20.3,12.0,35.6,4.2
90,14846,11.5,29.5,18.3,34.0,7.8,11.0,7.4,10.0,34.8,22.4,11.0,34.3,3.8
91,15628,10.2,38.9,16.2,40.3,10.2,9.9,9.2,10.0,39.5,21.0,12.8,37.3,4.7
92,12959,12.0,26.4,19.2,32.6,7.0,11.3,6.5,9.1,32.1,22.6,10.3,37.0,3.3
93,3605,11.4,27.9,16.3,30.7,7.7,10.5,6.0,7.5,33.2,19.4,9.4,32.2,3.1
94,14706,10.0,28.4,18.3,33.0,8.5,10.4,7.1,8.8,36.1,18.1,10.7,30.9,3.6
95,19492,10.2,40.4,11.5,42.0,14.5,8.7,10.9,8.5,37.6,11.4,12.1,26.0,5.5
96,15644,9.8,33.9,18.4,35.4,8.4,10.2,7.3,8.4,35.7,21.4,10.9,37.5,3.9
97,8804,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
98,1260,7.2,30.6,17.1,32.0,9.6,10.1,7.4,7.4,34.0,15.5,10.3,25.6,3.7
99,8757,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
100,29536,25.2,31.8,13.9,46.1,6.6,12.2,8.6,11.1,37.2,26.6,17.0,44.6,5.7
101,12185,9.7,25.2,20.9,28.7,7.3,9.7,5.5,7.2,30.9,18.5,8.5,30.9,2.8
102,7981,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
103,16504,11.6,26.7,17.8,31.1,7.1,11.0,6.5,7.7,31.3,20.7,9.5,34.0,3.6
104,18635,10.4,30.1,20.1,31.5,7.7,10.2,6.3,7.6,33.1,22.4,9.3,32.0,3.3
105,8028,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
106,5736,8.0,31.9,16.5,32.6,8.9,10.4,6.9,7.3,32.6,15.6,9.2,32.0,3.5
107,26234,14.8,43.1,11.4,45.1,8.4,11.6,11.9,14.8,39.9,28.8,17.2,42.2,5.3
108,16735,10.6,34.6,16.8,36.1,8.7,10.6,8.0,9.3,35.0,22.6,11.5,35.2,4.1
109,7748,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
110,17263,11.1,28.6,18.2,33.1,7.5,10.3,6.2,7.7,30.8,21.4,9.3,36.3,3.2
111,27349,15.3,27.8,16.9,33.7,7.2,9.5,6.2,7.8,34.8,20.2,10.3,35.3,3.3
112,7719,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
113,26581,14.3,40.1,12.6,43.8,8.1,11.4,10.8,13.7,37.8,28.8,16.2,44.6,4.8
114,22102,7.5,19.2,14.1,25.2,6.3,7.4,3.8,3.5,30.1,8.3,6.8,21.1,1.9
115,25245,11.6,38.2,12.9,42.1,7.8,11.0,8.6,11.0,38.7,25.0,13.9,42.9,3.8
116,19562,11.2,34.1,15.5,36.9,10.8,10.2,8.8,9.3,35.3,18.6,10.8,30.0,4.6
117,6330,9.6,26.2,19.1,29.7,6.9,10.7,5.1,6.4,32.0,16.5,8.2,31.4,2.7
118,21052,9.7,28.7,15.8,34.8,8.0,9.6,6.2,7.8,36.3,18.0,10.1,31.8,3.3
119,11718,6.4,22.3,19.8,26.7,8.0,8.5,4.6,5.1,31.0,11.3,7.2,23.9,2.3
120,27830,17.6,30.5,15.0,37.0,7.5,10.0,7.3,8.7,35.8,20.5,12.9,33.2,4.3
121,25661,14.3,43.8,11.3,49.0,8.3,12.3,11.4,14.7,40.7,28.2,17.5,48.7,5.4
122,7865,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
123,17750,10.7,31.3,18.0,34.9,8.2,10.6,7.0,8.5,34.3,21.4,10.1,32.2,3.7
124,8512,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
125,15224,9.3,24.6,20.7,29.6,7.0,10.3,5.3,5.7,26.9,16.4,9.0,28.2,3.2
126,17887,17.4,18.5,25.4,28.2,4.3,7.9,4.3,4.9,27.5,22.3,8.7,39.4,2.5
127,28539,16.8,21.5,20.4,26.7,5.0,9.5,4.5,6.2,28.6,20.2,7.8,32.2,2.5
128,27205,18.6,28.8,15.4,34.9,7.6,9.7,7.3,9.2,35.8,21.8,11.5,36.8,3.9
129,23709,18.1,6.2,26.5,15.1,0.9,10.1,1.3,2.9,10.8,18.6,2.6,25.4,0.8
130,13676,12.3,20.2,21.9,25.2,4.9,11.8,4.5,7.1,26.0,19.3,7.1,31.4,2.3
131,24977,11.6,40.6,12.3,46.1,8.7,10.8,10.0,11.8,39.3,24.3,14.7,41.5,4.4
132,14784,11.6,26.8,19.8,34.5,7.5,10.9,7.4,9.7,33.1,22.7,11.1,34.2,3.7
133,6785,7.5,28.2,15.9,30.4,9.2,9.2,6.2,6.0,35.7,12.8,8.7,27.5,3.0
134,13054,10.7,26.0,21.3,31.0,7.3,10.4,6.5,8.9,36.3,21.5,10.1,32.8,3.3
135,7663,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
136,8360,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
137,22193,16.4,20.0,16.7,29.6,4.7,9.3,4.0,5.3,27.1,16.8,9.8,31.8,2.6
138,14506,5.6,25.6,17.9,27.7,7.8,9.1,4.9,5.1,32.1,11.9,7.9,27.8,2.4
139,15038,8.7,33.1,18.5,35.3,8.7,9.8,6.7,7.5,34.0,18.4,9.7,35.1,3.5
140,2652,7.0,30.8,17.5,33.9,9.5,10.4,7.0,7.2,35.4,14.4,9.6,25.2,3.4
141,16724,10.3,33.8,17.2,35.1,8.4,10.7,7.8,9.0,34.2,22.2,11.1,34.6,4.0
142,14060,11.7,29.1,18.7,34.4,8.0,10.6,7.7,10.1,35.9,22.2,11.6,33.5,3.8
143,6061,6.6,23.7,19.0,25.4,7.2,8.8,4.3,4.7,32.6,12.0,7.0,27.1,2.2
144,22920,9.1,28.0,16.6,34.2,8.3,8.8,5.9,6.7,36.6,14.6,10.2,30.3,3.1
145,4614,11.1,30.8,16.2,32.5,9.6,9.9,7.2,8.0,35.7,14.9,8.9,31.2,3.4
146,2128,20.3,18.1,22.1,22.4,4.9,10.5,4.9,5.4,24.4,16.4,8.5,25.4,2.6
147,13681,14.1,30.3,19.3,35.1,6.9,11.8,7.7,11.9,33.2,26.3,11.9,36.9,4.0
148,16238,10.3,29.5,19.2,30.9,7.1,10.5,5.8,7.7,30.5,22.7,9.4,35.5,3.2
149,14724,13.6,28.3,19.2,36.1,8.1,11.2,8.3,11.2,34.1,24.9,11.8,34.0,4.1
150,29693,18.4,32.1,16.6,39.2,8.2,10.0,8.2,10.0,36.8,22.6,12.9,32.8,4.2
151,6525,5.7,25.7,15.0,31.5,9.1,9.4,5.0,4.6,35.5,9.8,8.6,25.9,2.6
152,19946,14.0,30.2,15.9,36.0,7.2,11.3,6.6,9.2,33.4,19.7,12.5,41.0,3.8
153,22713,12.4,28.9,15.5,35.9,7.6,9.9,6.4,8.2,34.8,19.0,11.1,32.1,3.5
154,13114,11.0,27.7,20.6,31.6,7.3,10.9,6.0,8.6,30.6,21.0,9.5,37.3,3.1
155,12570,8.2,23.0,22.9,28.3,7.0,9.5,4.6,5.6,30.5,14.9,7.5,30.9,2.3
156,26408,10.6,34.1,14.0,37.4,7.8,10.2,7.5,9.0,35.7,22.2,12.0,35.2,3.3
157,27249,14.6,26.4,16.2,32.8,7.2,9.3,5.9,7.1,34.1,18.9,10.4,33.5,3.3
158,28305,13.9,30.7,14.4,37.2,8.4,9.4,7.4,7.8,35.5,16.6,12.9,31.7,4.2
159,10019,8.8,16.3,24.5,20.8,5.6,8.8,3.7,3.6,27.4,9.9,6.1,18.1,1.9
160,29332,19.5,36.0,13.2,47.1,8.6,10.7,10.2,11.7,42.3,23.9,17.4,41.5,5.6
161,11964,6.6,27.5,16.6,32.8,10.5,8.3,6.5,6.4,35.4,10.9,9.1,23.9,3.1
162,4939,15.7,30.4,17.0,36.4,8.2,12.0,8.1,10.5,35.6,22.8,11.7,36.6,3.8
163,25625,16.2,40.4,13.0,46.4,6.9,11.9,10.0,13.6,37.4,31.3,16.2,47.3,4.7
164,3875,10.5,31.0,16.4,33.1,9.1,10.0,7.0,7.5,36.0,16.2,9.8,29.9,3.4
165,17870,10.5,27.5,19.1,29.5,7.1,10.7,5.9,7.0,30.6,19.1,8.8,32.1,3.1
166,21205,20.1,28.9,14.4,43.7,5.8,14.1,7.1,10.1,29.4,28.5,16.0,42.4,5.6
167,15056,10.4,32.1,18.3,35.2,9.1,10.7,7.4,8.7,32.9,20.4,11.0,30.2,4.1
168,4069,11.7,27.3,20.6,31.5,8.0,10.9,6.3,7.8,31.8,16.4,8.4,27.6,3.0
169,12057,11.1,27.4,18.6,32.7,7.9,10.3,7.1,9.3,33.3,19.8,10.5,32.0,3.6
170,15323,10.1,33.2,18.6,35.6,8.2,10.4,6.9,8.4,34.1,21.1,10.3,36.4,3.6
171,27891,19.7,29.3,13.2,42.5,6.8,10.7,7.3,8.6,34.5,22.7,16.1,39.1,5.1
172,13206,12.6,26.0,20.8,30.7,6.8,11.3,6.4,8.5,31.2,20.5,9.7,34.3,3.5
173,13760,10.3,28.8,18.6,34.4,8.3,10.3,6.8,8.2,34.7,17.0,9.9,30.2,3.4
174,2111,11.1,16.8,19.1,23.0,4.5,9.3,4.7,4.3,25.9,13.3,9.1,16.6,2.5
175,3055,10.9,24.0,19.6,28.2,7.1,11.1,4.9,6.0,28.9,16.4,7.8,32.6,2.6
176,14592,12.4,29.1,18.1,32.9,6.8,12.1,7.0,10.6,33.1,24.4,11.0,37.0,3.7
177,4443,17.5,33.6,15.2,38.0,8.9,11.6,9.1,12.0,36.4,24.1,12.6,36.4,4.6
178,1832,11.5,25.1,20.9,26.3,6.5,9.9,5.7,6.2,28.3,17.7,8.4,27.6,2.9
179,25565,14.6,39.2,13.1,42.5,7.1,11.6,9.3,12.5,36.6,29.3,14.6,44.3,4.2
180,24087,12.7,28.5,16.8,34.6,7.4,9.7,6.4,8.5,33.3,20.6,10.7,32.6,3.4
181,18037,9.7,28.7,18.4,31.9,7.7,9.9,5.9,7.1,33.9,19.6,9.3,35.4,3.2
182,21207,13.4,27.2,13.1,43.3,6.3,11.7,5.6,6.7,31.2,18.3,14.7,40.6,4.7
183,27824,21.1,33.7,13.1,45.0,7.8,10.9,9.1,11.0,37.8,24.3,17.7,41.8,5.9
184,10460,31.0,19.8,16.6,33.3,4.4,12.4,6.3,7.5,29.6,20.2,15.9,36.4,4.1
185,26047,11.7,40.2,12.5,41.9,8.4,10.9,9.7,11.8,38.5,25.9,14.9,38.7,4.3
186,13052,11.6,29.2,18.3,34.7,8.4,10.8,7.7,10.1,36.0,22.1,11.0,36.0,3.9
187,28270,10.6,20.2,19.5,26.2,6.5,8.0,4.0,4.3,30.9,12.1,7.2,24.4,2.2
188,7201,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
189,4043,10.5,31.8,16.6,34.7,10.2,10.5,7.0,7.6,34.4,13.3,9.6,30.6,3.4
190,7039,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
191,13470,12.1,32.0,17.2,37.5,8.2,11.1,7.9,10.6,35.1,24.2,12.1,34.3,3.9
192,23235,10.3,27.0,15.7,36.2,8.2,9.1,5.8,6.5,34.1,13.7,10.6,32.6,3.1
193,16635,10.1,32.1,18.0,34.8,8.4,10.4,7.0,8.2,35.4,21.6,10.5,35.7,3.6
194,24176,10.7,37.6,12.6,45.4,10.2,9.4,9.0,10.1,42.3,17.3,14.5,37.4,4.6
195,5077,9.3,25.8,18.0,28.7,7.8,10.5,6.0,7.1,30.8,16.0,8.4,32.1,3.2
196,14213,19.5,22.3,18.0,30.5,4.8,11.9,6.0,8.7,27.5,23.0,11.9,36.0,3.5
197,28715,15.8,28.4,16.5,31.5,7.8,9.2,6.8,8.3,33.1,20.0,10.3,28.8,3.5
198,14126,10.4,33.7,16.2,37.9,9.1,11.1,8.8,10.8,37.4,22.1,12.4,33.4,4.3
199,21758,8.2,27.2,15.6,32.2,7.5,9.2,5.2,6.1,34.2,14.0,9.1,32.4,2.7
200,11729,11.1,22.9,18.3,29.5,7.4,9.3,5.5,6.6,29.8,15.4,9.2,26.5,3.0
201,18920,7.2,31.3,17.2,35.6,9.0,9.2,6.7,6.8,37.3,16.2,10.5,32.9,3.3
202,18972,7.7,29.8,18.4,33.5,8.4,9.6,6.1,6.7,35.3,17.5,9.7,32.9,3.1
203,10970,13.1,24.0,15.2,30.7,6.9,10.0,5.9,7.0,32.0,14.7,10.9,28.9,3.3
204,21252,17.9,8.0,15.6,15.9,0.7,16.3,1.4,5.3,10.4,22.6,2.5,31.2,1.0
205,2760,7.5,23.5,20.3,27.6,7.0,10.1,4.9,5.8,28.2,16.1,7.3,29.9,2.5
206,26627,14.1,40.3,11.4,44.5,8.3,11.6,10.9,13.7,37.7,27.6,15.8,42.1,5.0
207,7052,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
208,10526,7.4,23.3,17.6,25.8,7.6,9.4,5.0,5.7,30.6,10.6,7.9,24.7,2.6
209,22015,9.8,20.3,14.3,26.8,6.0,7.9,4.0,4.3,31.5,10.8,8.0,23.9,2.1
210,10035,26.4,22.4,18.3,34.0,4.9,12.4,7.2,8.3,31.0,21.1,15.5,32.1,4.8
211,10502,6.6,22.7,15.8,26.1,8.4,8.2,5.0,4.8,31.7,8.2,7.9,20.7,2.5
212,14569,10.8,28.2,19.0,32.7,8.1,10.4,6.8,8.9,33.9,19.7,9.9,32.1,3.4
213,26801,12.5,41.6,11.5,44.3,9.5,10.6,10.7,12.3,40.5,23.3,15.4,37.4,4.8
214,29532,21.4,32.0,15.3,45.4,7.1,11.4,8.3,10.0,36.9,24.1,16.8,40.3,5.5
215,7438,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
216,28804,12.7,26.3,16.8,29.3,7.9,8.7,6.2,6.5,33.3,14.4,9.0,25.7,3.1
217,4555,12.4,31.3,17.1,34.1,8.9,10.3,7.1,8.4,33.3,17.2,9.1,26.7,3.5
218,4258,13.9,26.7,18.8,30.6,7.1,10.2,5.9,7.8,30.5,19.4,8.6,32.3,3.0
219,7644,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
220,2638,6.1,34.8,14.5,37.9,12.0,9.8,8.5,7.5,38.2,11.5,10.6,23.5,4.0
221,27805,21.1,33.3,12.5,44.4,7.6,11.3,8.9,11.0,36.3,24.6,17.2,42.5,5.8
222,10901,9.8,24.2,16.1,28.7,8.1,9.1,5.6,6.1,32.9,11.7,9.1,25.4,2.9
223,17517,11.6,28.9,17.8,31.7,7.6,10.7,6.4,7.9,31.1,22.3,9.7,31.0,3.4
224,20723,9.2,17.5,15.4,28.1,5.2,8.4,3.3,3.9,29.7,11.7,7.8,28.2,2.1
225,13138,7.4,16.2,29.5,18.1,4.5,9.4,2.4,3.9,24.5,14.0,4.3,27.4,1.4
226,20850,8.6,19.0,12.9,25.9,6.6,7.8,4.1,3.9,32.4,8.5,7.8,21.5,2.2
227,7042,13.2,28.5,17.3,34.6,7.6,9.9,6.9,8.0,34.1,19.3,11.1,34.9,3.6
228,14717,12.0,32.8,17.3,37.9,9.3,10.6,9.4,11.8,37.7,22.4,13.4,33.8,4.7
229,20632,10.5,27.7,15.7,35.6,6.8,9.9,5.6,7.5,35.4,19.8,11.1,42.2,3.0
230,23146,8.7,27.5,16.7,35.9,8.1,9.0,5.8,6.6,35.6,14.7,10.0,34.6,3.0
231,1760,5.2,22.4,20.3,25.6,7.8,9.0,4.7,4.1,29.3,10.1,6.6,21.8,2.3
232,10606,18.0,19.6,16.8,26.2,5.8,9.4,5.1,5.6,26.3,12.8,10.2,28.2,2.9
233,21784,7.7,23.5,17.6,31.0,7.5,8.3,4.7,5.3,33.7,12.6,8.6,30.6,2.5
234,20106,10.2,28.2,16.3,34.3,7.8,9.2,5.9,7.1,35.2,16.3,10.1,31.2,3.1
235,19138,14.9,29.0,14.4,42.8,6.0,13.8,6.6,7.7,31.8,21.7,17.0,39.1,5.7
236,4219,14.6,30.8,18.0,33.8,8.5,11.2,7.6,10.0,33.5,20.8,10.4,34.1,3.9
237,22301,7.7,19.0,20.2,25.5,5.8,8.2,3.2,3.5,27.9,10.5,6.1,25.3,1.8
238,1001,7.8,30.0,18.0,32.6,9.1,10.4,6.9,6.9,31.9,16.4,9.0,25.8,3.4
239,14502,9.2,24.2,20.8,28.1,7.2,9.7,5.2,6.7,31.3,16.9,8.2,30.2,2.7
240,23224,23.2,25.1,16.2,41.6,5.0,12.3,6.5,8.8,28.8,23.3,16.0,40.4,5.0
241,23830,11.6,28.3,16.9,37.5,7.4,9.7,5.9,7.3,33.9,18.4,11.7,36.1,3.6
