ZCTA,Total Population,insurance_access,ARTHRITIS_CrudePrev,DRINKING,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,HIGHCHOL_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,Total_Population_18plus,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher,Employed_16_above,All_death,Heart_death,Income,Total Male%,Total Female%,Male: Under 5%,Male: 5 to 17%,Male: 18 to 39%,Male: 40 to 59%,Male: 60 and Over%,Female: Under 5%,Female: 5 to 17%,Female: 18 to 39%,Female: 40 to 59%,Female: 60 and Over%,OSM_healthcare_poi,zip_level_facilities,zip_level_facilities_filtered,county_level_facilities,county_level_facilities_filtered,county_name,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
90001,57110,36.5,15.9,16.4,26.8,3.5,9.3,5.1,5.4,25.7,16.7,13.3,35.2,3.3,40854,19516,10445,8796,2097,42853,275.0,57.0,43360.0,0.507646656,0.492353344,0.068021,0.11892262,0.102716275,0.161150422,0.056836339,0.016434604,0.160465647,0.127368181,0.128509473,0.059575439,12.0,4.0,4.0,6130.0,1247.0,Los Angeles,0.9627911048853092,0.3591139905445631,0.1073892488180704,0.0071791279985991,0.0025389599019436,0.0004727718438101,0.4860970057783225,0.0372088951146909
90002,51223,33.7,17.1,16.0,29.0,3.7,10.0,5.2,6.0,25.6,17.6,13.6,36.0,3.8,36045,16371,9756,8001,1917,38146,252.0,62.0,37285.0,0.516613184,0.483386816,0.042184784,0.127824575,0.17435486,0.121791015,0.050457949,0.041833801,0.105344966,0.166599813,0.110810269,0.058797968,2.0,5.0,5.0,6130.0,1247.0,Los Angeles,0.9621459110165356,0.280967534115534,0.2557640122601175,0.0072428401304101,0.0028893270601097,0.0006442418444839,0.4146379556058802,0.0378540889834644
90003,66266,34.2,16.8,16.1,28.7,3.5,9.9,5.1,5.9,25.2,18.0,13.5,36.5,3.7,50055,21705,14955,10677,2718,52804,375.0,91.0,40598.0,0.476942704,0.523057296,0.047277776,0.116487186,0.156729579,0.111853214,0.04459495,0.042549998,0.117443998,0.184402086,0.119732843,0.05892837,8.0,4.0,3.0,6130.0,1247.0,Los Angeles,0.9620318111852232,0.2999728367488606,0.2441825370476564,0.0077867986599462,0.0022485135665348,0.00087526031449,0.4069658648477349,0.0379681888147768
90004,62180,21.6,15.1,16.2,24.6,4.1,7.3,4.1,4.1,26.8,12.6,10.5,25.5,2.5,48931,11842,10953,9959,16177,50096,285.0,63.0,49675.0,0.49009901,0.50990099,0.046263393,0.123314797,0.171504137,0.103078801,0.045937881,0.044391699,0.107134138,0.181201682,0.122663773,0.054509698,3.0,10.0,4.0,6130.0,1247.0,Los Angeles,0.9553232550659376,0.3731907365712448,0.0351720810550016,0.0079929237697008,0.2686394339015761,0.0008845287873914,0.2694435509810228,0.0446767449340624
90005,37681,23.8,15.1,15.1,25.9,3.8,7.3,4.5,4.4,26.7,13.4,11.5,25.4,2.8,32524,9105,7568,6208,9643,33217,193.0,39.0,38491.0,0.49279001,0.50720999,0.028823442,0.061297303,0.198989115,0.135924415,0.067755736,0.029269421,0.072380701,0.182537454,0.132307032,0.090715383,1.0,11.0,3.0,6130.0,1247.0,Los Angeles,0.9553090416920996,0.2906769990180727,0.0532629176508054,0.0084127279000026,0.3381014304291287,0.0010615429526817,0.2637934237414081,0.0446909583079005
90006,59185,31.1,16.2,15.0,27.5,3.7,8.1,5.3,5.4,27.6,15.6,13.7,30.5,3.3,46347,18172,11085,8851,8239,47927,295.0,73.0,37072.0,0.50440451,0.49559549,0.028415383,0.065790798,0.202406121,0.13867915,0.069113057,0.027031108,0.060178194,0.18055975,0.128611698,0.099214739,8.0,20.0,7.0,6130.0,1247.0,Los Angeles,0.9531300160513644,0.3188138886542198,0.0368167610036326,0.0105770043085241,0.184742755765819,0.0007772239587733,0.4014023823603954,0.0468699839486356
90007,40920,23.1,12.6,17.1,21.8,2.8,9.2,3.9,4.4,20.7,13.6,9.4,27.5,2.5,36428,7408,5746,14058,9216,37139,135.0,30.0,27406.0,0.495065127,0.504934873,0.028350342,0.083087149,0.1944575,0.127114946,0.06205519,0.029693165,0.080921848,0.175137639,0.124865718,0.094316503,4.0,11.0,8.0,6130.0,1247.0,Los Angeles,0.9467497556207234,0.387316715542522,0.111119257086999,0.0066959921798631,0.1543743890518084,0.0010752688172043,0.2861681329423265,0.0532502443792766
90008,32327,16.4,22.8,14.1,38.0,6.0,9.9,5.7,5.6,28.9,13.1,14.4,34.5,4.8,26752,4020,5082,10223,7427,27379,317.0,85.0,43364.0,0.515565715,0.484434285,0.018523319,0.059222775,0.326161242,0.06563288,0.046025499,0.012608112,0.05116301,0.27624726,0.082153041,0.062262861,1.0,11.0,5.0,6130.0,1247.0,Los Angeles,0.9610851610109196,0.0849754075540569,0.6985182664645653,0.0044544807745847,0.02564419834813,0.0009280168280384,0.1465647910415442,0.0389148389890803
90045,39480,9.3,15.8,19.5,22.5,5.4,7.8,3.5,3.3,25.4,8.6,6.7,22.6,2.1,34192,945,3433,12223,17591,34995,234.0,68.0,104578.0,0.47170741,0.52829259,0.044457629,0.106865239,0.151865893,0.11377372,0.054744929,0.039560351,0.104894261,0.172520942,0.135012017,0.076305019,4.0,9.0,4.0,6130.0,1247.0,Los Angeles,0.9393110435663627,0.6113475177304964,0.1419706180344478,0.0037487335359675,0.1203394123606889,0.0034194528875379,0.0584853090172239,0.0606889564336372
90010,3800,15.0,15.4,13.2,25.9,4.4,6.4,4.3,4.1,27.2,12.2,10.2,18.2,2.7,3429,276,554,955,1644,3499,26.0,,63112.0,0.438432953,0.561567047,0.013100712,0.066164893,0.135478995,0.131007117,0.092681237,0.021729546,0.056528311,0.161774895,0.166026327,0.155507968,2.0,47.0,6.0,6130.0,1247.0,Los Angeles,0.9760526315789474,0.2326315789473684,0.0439473684210526,0.0021052631578947,0.661578947368421,0.0002631578947368,0.0355263157894736,0.0239473684210526
90011,103892,38.6,15.4,16.4,26.4,3.2,9.5,5.0,5.6,25.2,17.9,13.2,35.9,3.3,76066,39243,17744,15181,3898,79986,407.0,90.0,40940.0,0.476713762,0.523286238,0.002878074,0.04526426,0.219518577,0.107012036,0.102040816,0.010204082,0.04447933,0.221350078,0.110936682,0.136316065,2.0,18.0,14.0,6130.0,1247.0,Los Angeles,0.9578023331921612,0.3382166095560774,0.0939822122973857,0.0117333384668694,0.0056885996996881,0.0003561390674931,0.5078254341046471,0.0421976668078389
90012,31103,20.6,15.3,17.0,27.8,4.1,6.8,5.1,4.5,26.5,13.7,11.6,23.0,3.2,33437,9242,6360,7309,10526,33927,196.0,48.0,47027.0,0.505797688,0.494202312,0.043376962,0.1167004,0.178221563,0.12142311,0.046075653,0.039949624,0.11571088,0.168587235,0.117599964,0.052354608,3.0,10.0,5.0,6130.0,1247.0,Los Angeles,0.9720284216956564,0.2710992508761213,0.1369642799729929,0.005980130534032,0.4403433752371153,0.0018004694080956,0.1158409156672989,0.0279715783043436
90013,11772,17.8,21.8,15.9,37.2,4.9,8.6,7.8,7.6,28.8,17.7,16.4,33.9,5.1,12154,1828,2384,3335,4607,12169,143.0,43.0,22316.0,0.61829722,0.38170278,0.015484789,0.033185599,0.339352156,0.15561392,0.074660757,0.013432917,0.02311775,0.163274239,0.073511709,0.108366163,4.0,12.0,11.0,6130.0,1247.0,Los Angeles,0.9567618076792388,0.372579001019368,0.3236493374108053,0.0142711518858307,0.1558783554196398,0.0014441046551138,0.0889398572884811,0.0432381923207611
