ZCTA,Total,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
90001,57110,0.9627911048853091,0.3591139905445631,0.1073892488180704,0.007179127998599194,0.0025389599019436174,0.00047277184381019086,0.48609700577832254,0.03720889511469095
90002,51223,0.9621459110165356,0.28096753411553405,0.2557640122601175,0.007242840130410167,0.0028893270601097164,0.0006442418444839233,0.4146379556058802,0.03785408898346446
90003,66266,0.9620318111852232,0.29997283674886066,0.2441825370476564,0.0077867986599462775,0.0022485135665348747,0.0008752603144900854,0.4069658648477349,0.03796818881477681
90004,62180,0.9553232550659376,0.3731907365712448,0.03517208105500161,0.007992923769700868,0.2686394339015761,0.0008845287873914442,0.26944355098102285,0.0446767449340624
90005,37681,0.9553090416920995,0.29067699901807276,0.053262917650805444,0.008412727900002654,0.3381014304291287,0.001061542952681723,0.26379342374140813,0.044690958307900534
90006,59185,0.9531300160513644,0.31881388865421983,0.036816761003632674,0.010577004308524119,0.18474275576581906,0.0007772239587733378,0.4014023823603954,0.04686998394863563
90007,40920,0.9467497556207234,0.387316715542522,0.11111925708699902,0.006695992179863147,0.15437438905180842,0.001075268817204301,0.2861681329423265,0.05325024437927664
90008,32327,0.9610851610109197,0.08497540755405698,0.6985182664645653,0.004454480774584713,0.025644198348130046,0.0009280168280384818,0.1465647910415442,0.03891483898908034
90010,3800,0.9760526315789474,0.2326315789473684,0.04394736842105263,0.002105263157894737,0.661578947368421,0.0002631578947368421,0.035526315789473684,0.02394736842105263
90011,103892,0.9578023331921611,0.33821660955607746,0.09398221229738575,0.011733338466869442,0.005688599699688138,0.000356139067493166,0.5078254341046471,0.04219766680783891
90012,31103,0.9720284216956564,0.2710992508761213,0.13696427997299296,0.005980130534032087,0.44034337523711536,0.001800469408095682,0.11584091566729897,0.027971578304343634
90013,11772,0.9567618076792389,0.372579001019368,0.3236493374108053,0.014271151885830785,0.15587835541963982,0.0014441046551138294,0.08893985728848114,0.04323819232076113
90014,7005,0.9501784439685939,0.401570306923626,0.2937901498929336,0.01270521056388294,0.1640256959314775,0.0015703069236259815,0.07651677373304783,0.04982155603140614
