id,Geographic Area Name,Income,zcta
8600000US90001,ZCTA5 90001,43360.0,90001
8600000US90002,ZCTA5 90002,37285.0,90002
8600000US90003,ZCTA5 90003,40598.0,90003
8600000US90004,ZCTA5 90004,49675.0,90004
8600000US90005,ZCTA5 90005,38491.0,90005
8600000US90006,ZCTA5 90006,37072.0,90006
8600000US90007,ZCTA5 90007,27406.0,90007
8600000US90008,ZCTA5 90008,43364.0,90008
8600000US90010,ZCTA5 90010,63112.0,90010
8600000US90011,ZCTA5 90011,40940.0,90011
8600000US90012,ZCTA5 90012,47027.0,90012
8600000US90013,ZCTA5 90013,22316.0,90013
8600000US90014,ZCTA5 90014,40641.0,90014
8600000US90015,ZCTA5 90015,43890.0,90015
8600000US90016,ZCTA5 90016,48715.0,90016
8600000US90017,ZCTA5 90017,35605.0,90017
8600000US90018,ZCTA5 90018,45984.0,90018
8600000US90019,ZCTA5 90019,56389.0,90019
8600000US90020,ZCTA5 90020,49068.0,90020
8600000US90021,ZCTA5 90021,21635.0,90021
8600000US90022,ZCTA5 90022,46051.0,90022
8600000US90023,ZCTA5 90023,42972.0,90023
8600000US90024,ZCTA5 90024,65855.0,90024
8600000US90025,ZCTA5 90025,87280.0,90025
8600000US90026,ZCTA5 90026,65269.0,90026
8600000US90027,ZCTA5 90027,66947.0,90027
8600000US90028,ZCTA5 90028,45499.0,90028
8600000US90029,ZCTA5 90029,41998.0,90029
8600000US90031,ZCTA5 90031,48479.0,90031
8600000US90032,ZCTA5 90032,57225.0,90032
8600000US90033,ZCTA5 90033,38266.0,90033
8600000US90034,ZCTA5 90034,75714.0,90034
8600000US90035,ZCTA5 90035,89337.0,90035
8600000US90036,ZCTA5 90036,80539.0,90036
8600000US90037,ZCTA5 90037,35424.0,90037
8600000US90038,ZCTA5 90038,47116.0,90038
8600000US90039,ZCTA5 90039,90538.0,90039
8600000US90040,ZCTA5 90040,47120.0,90040
8600000US90041,ZCTA5 90041,85971.0,90041
8600000US90042,ZCTA5 90042,64267.0,90042
8600000US90043,ZCTA5 90043,54729.0,90043
8600000US90044,ZCTA5 90044,35981.0,90044
8600000US90045,ZCTA5 90045,104578.0,90045
8600000US90046,ZCTA5 90046,72266.0,90046
8600000US90047,ZCTA5 90047,52605.0,90047
8600000US90048,ZCTA5 90048,100586.0,90048
8600000US90049,ZCTA5 90049,129688.0,90049
8600000US90056,ZCTA5 90056,92656.0,90056
8600000US90057,ZCTA5 90057,37700.0,90057
8600000US90058,ZCTA5 90058,21964.0,90058
8600000US90059,ZCTA5 90059,44838.0,90059
8600000US90061,ZCTA5 90061,42500.0,90061
8600000US90062,ZCTA5 90062,49443.0,90062
8600000US90063,ZCTA5 90063,48559.0,90063
8600000US90064,ZCTA5 90064,102117.0,90064
8600000US90065,ZCTA5 90065,67479.0,90065
8600000US90066,ZCTA5 90066,83899.0,90066
8600000US90067,ZCTA5 90067,118393.0,90067
8600000US90068,ZCTA5 90068,88535.0,90068
8600000US90069,ZCTA5 90069,93380.0,90069
8600000US90071,ZCTA5 90071,61875.0,90071
8600000US90073,ZCTA5 90073,76437.11,90073
8600000US90077,ZCTA5 90077,209531.0,90077
8600000US90079,ZCTA5 90079,76437.11,90079
8600000US90089,ZCTA5 90089,76437.11,90089
8600000US90090,ZCTA5 90090,76437.11,90090
8600000US90094,ZCTA5 90094,155417.0,90094
8600000US90095,ZCTA5 90095,76437.11,90095
8600000US90201,ZCTA5 90201,44046.0,90201
8600000US90210,ZCTA5 90210,147270.0,90210
8600000US90211,ZCTA5 90211,86437.0,90211
